No,Kacamatan,2014,2015,2016,2017,FID
1,AIR SUGIHAN,34155,34816,35463,36097,1
2,CENGAL,46810,47590,48354,49103,2
3,JEJAWI,40065,40574,41068,41551,3
4,KAYUAGUNG,66770,67770,68743,69694,4
5,LEMPUING,76361,77744,79096,80421,5
6,LEMPUING JAYA,63607,64503,65375,66225,6
7,MESUJI,41365,41992,42604,43202,7
8,MESUJI MAKMUR,54982,55585,56172,56743,8
9,MESUJI RAYA,36961,37524,38073,38609,9
10,PAMPANGAN,29337,29665,29983,30294,10
11,PANGKALAN LAMPAM,27724,28047,28361,28668,11
12,PEDAMARAN,43170,43995,44803,45597,12
13,PEDAMARAN TIMUR,21753,22112,22463,22806,13
14,SIRAH PULAU PADANG,44166,44791,45400,45996,14
15,SUNGAI MENANG,49955,50556,51141,51710,15
16,TANJUNG LUBUK,33516,33882,34238,34584,16
17,TELUK GELAM,22331,22553,22768,22977,17
18,TULUNG SELAPAN,43235,43814,44377,44926,18
